sel,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
307,good daze,Jazzinuf,chillhop,2019.00,77.00,49.00,76.00,-11.00,36.00,35.00,154.00,28.00,45.00,47.00
308,Whats For Dinner?,Dominic Fike,alternative pop rock,2020.00,92.00,47.00,86.00,-5.00,11.00,31.00,138.00,65.00,8.00,47.00
309,Westcoast Collective,Dominic Fike,alternative pop rock,2018.00,92.00,57.00,68.00,-7.00,34.00,54.00,107.00,54.00,3.00,47.00
310,Happen To Me,BENEE,alt z,2020.00,149.00,64.00,66.00,-8.00,10.00,36.00,232.00,17.00,3.00,47.00
311,Beam,Payday,modern alternative pop,2020.00,85.00,78.00,69.00,-4.00,32.00,92.00,104.00,43.00,34.00,46.00
312,Superman,Lazlo Bane,,2002.00,81.00,69.00,58.00,-9.00,8.00,84.00,225.00,11.00,3.00,46.00
313,Sola,Nina Cobham,chill pop,2020.00,125.00,39.00,75.00,-13.00,11.00,33.00,199.00,29.00,20.00,45.00
314,Lifeline,Reuben Gray,,2020.00,94.00,42.00,41.00,-8.00,9.00,20.00,208.00,4.00,4.00,45.00
315,alone in a room full of people,blackbear,electropop,2021.00,162.00,85.00,64.00,-4.00,31.00,65.00,155.00,20.00,9.00,45.00
316,Famous,Adam Doleac,contemporary country,2020.00,95.00,48.00,75.00,-6.00,12.00,43.00,187.00,36.00,4.00,45.00
317,Growing Up,Thomas Rhett,contemporary country,2021.00,105.00,79.00,63.00,-6.00,14.00,56.00,181.00,1.00,2.00,45.00
318,interested,Nina Cobham,chill pop,2021.00,126.00,29.00,83.00,-12.00,14.00,23.00,193.00,86.00,8.00,45.00
319,Boy In A Billion,Claire Rosinkranz,alt z,2021.00,79.00,46.00,51.00,-7.00,29.00,49.00,208.00,44.00,15.00,44.00
320,@ my worst,blackbear,electropop,2021.00,137.00,77.00,62.00,-5.00,15.00,34.00,191.00,2.00,6.00,44.00
321,Be Myself,Why Don't We,boy band,2021.00,82.00,38.00,47.00,-10.00,16.00,38.00,214.00,44.00,3.00,44.00
322,Dying in the Subtlety,Cautious Clay,indie r&b,2021.00,91.00,57.00,72.00,-8.00,22.00,45.00,139.00,0.00,3.00,44.00
323,Preached,LIL DUSTY G,emo rap,2021.00,113.00,41.00,69.00,-8.00,13.00,44.00,159.00,42.00,4.00,44.00
324,Welcome Back (feat. Alessia Cara),Ali Gatie,canadian hip hop,2020.00,172.00,52.00,58.00,-7.00,17.00,19.00,173.00,14.00,7.00,43.00
325,ghost town (ft. Sasha Alex Sloan),blackbear,electropop,2021.00,101.00,78.00,71.00,-5.00,8.00,38.00,188.00,5.00,3.00,43.00
326,imu (ft. Travis Barker),blackbear,electropop,2021.00,78.00,81.00,53.00,-6.00,6.00,55.00,216.00,1.00,6.00,43.00
327,Toxic,Alex & Sierra,neo mellow,2016.00,107.00,47.00,76.00,-7.00,10.00,71.00,251.00,48.00,3.00,43.00
328,Best Parts of Me,Will Dempsey,,2020.00,87.00,19.00,37.00,-15.00,8.00,15.00,257.00,35.00,4.00,43.00
329,u love u (with Tate McRae),blackbear,electropop,2021.00,80.00,69.00,53.00,-6.00,16.00,29.00,189.00,2.00,4.00,43.00
330,Us Someday,Thomas Rhett,contemporary country,2022.00,156.00,64.00,52.00,-6.00,10.00,75.00,144.00,3.00,2.00,43.00
331,POSE,MICHELLE,bedroom pop,2022.00,116.00,56.00,85.00,-8.00,14.00,42.00,193.00,33.00,11.00,43.00
332,Baby Come Back to Me,Kane Brown,black americana,2019.00,81.00,81.00,54.00,-6.00,11.00,48.00,227.00,2.00,3.00,42.00
333,May We All,Florida Georgia Line,contemporary country,2016.00,150.00,92.00,51.00,-4.00,34.00,64.00,227.00,4.00,4.00,42.00
